,mean_time,mean_score_test,mean_score_train
264,0.004112720489501953,0.7904091213950369,0.7908871753380778
265,0.005391279856363933,0.8154335851172609,0.8491254286170324
266,0.008158047993977865,0.8655099998900507,0.9007158752960646
267,0.013677676518758139,0.9116538942214306,0.9311979077801444
268,0.02401558558146159,0.9124235394149963,0.940581157912697
269,0.04457171758015951,0.9124308693692208,0.9351111881658585
270,0.1316976547241211,0.8960136043950406,0.9284624642475144
271,0.26389416058858234,0.9069590585406795,0.9362835211084142
272,0.003931442896525065,0.7959084195519198,0.8076878622261118
273,0.005345980326334636,0.8201412482179049,0.8674924367096155
274,0.008511225382486979,0.8881980407032358,0.9202552163312033
275,0.013490756352742514,0.9147819521867087,0.9386213071053651
276,0.023243029912312824,0.9139903171304695,0.949571795760888
277,0.04499459266662598,0.9155607598230548,0.9421483964356675
278,0.13790520032246908,0.9014872477121382,0.9401912975835996
279,0.2703551451365153,0.9163468974136256,0.9507459633402866
280,0.0037741661071777344,0.7107013666699652,0.7208911931927634
281,0.0054086049397786455,0.760730136740296,0.7818699352556658
282,0.00782926877339681,0.8021920228108176,0.8268212898597787
283,0.012815713882446289,0.8796018368865286,0.9046190651791431
284,0.02282857894897461,0.8960154368835966,0.9120429231635744
285,0.04315948486328125,0.8905491235207236,0.9093083969493657
286,0.12982813517252603,0.8772599165118214,0.8948363228740687
287,0.26040975252787274,0.888201705680348,0.9065702014614717
288,0.003942728042602539,0.7771034219891297,0.7721298482571868
289,0.0054730574289957685,0.7982191876211733,0.837399805895422
290,0.008735418319702148,0.8623672820163238,0.8792153074759618
291,0.013667424519856771,0.8975748846448454,0.9159566622084991
292,0.023148457209269207,0.9038291680868453,0.9222063526135319
293,0.0440987745920817,0.9014872477121382,0.919470909080902
294,0.1305392583211263,0.8842930075901676,0.9069586858129367
295,0.2716432412465413,0.8967997419856113,0.9159525342756027
296,0.0044240156809488935,0.7778913920682565,0.7736920415288396
297,0.004987875620524089,0.8060475787328708,0.8459978314592518
298,0.00836793581644694,0.8639450546631336,0.896808098820879
299,0.01441041628519694,0.9093138063352795,0.9272919659418016
300,0.025268713633219402,0.91164473177865,0.9308103407471009
301,0.04567869504292806,0.9093064763810551,0.924164368784021
302,0.14505879084269205,0.891326098668514,0.9159516169571814
303,0.2673655351003011,0.9022697203255966,0.9245537704539074
304,0.003746509552001953,0.7904091213950369,0.7908871753380778
305,0.0055281321207682295,0.8154335851172609,0.8491254286170324
306,0.009128650029500326,0.8655099998900507,0.9007158752960646
307,0.013997872670491537,0.9116538942214306,0.9311979077801444
308,0.024897019068400066,0.9124235394149963,0.940581157912697
309,0.04763182004292806,0.9124308693692208,0.9351111881658585
310,0.14285890261332193,0.8960136043950406,0.9284624642475144
311,0.2989377975463867,0.9069590585406795,0.9362835211084142
312,0.003876924514770508,0.7959084195519198,0.8076878622261118
313,0.005756060282389323,0.8201412482179049,0.8674924367096155
314,0.010090112686157227,0.8881980407032358,0.9202552163312033
315,0.015293757120768229,0.9147819521867087,0.9386213071053651
316,0.03588596979777018,0.9139903171304695,0.949571795760888
317,0.06540298461914062,0.9155607598230548,0.9421483964356675
